Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,1950.27,наличный,Витебск,Беларусбанк-MRAG-008,07-04-2004,13:57:30,неправильный ввод пин-кода,да,34.64
физ. лицо,списание средств,2101.86,наличный,Гродно,Беларусбанк-KHJT-525,12-04-2006,02:20:56,недостаточно средств,да,49.53
юр. лицо,списание средств,4470.22,наличный,Брест,МаксБанк-NJBZ-483,21-10-2002,03:30:40,недостаточно средств,да,100.78
физ. лицо,списание средств,2685.47,безналичный,Витебск,Приорбанк-SOND-280,04-09-2010,08:57:31,неправильный ввод пин-кода,да,246.89
юр. лицо,списание средств,937.33,наличный,Гродно,Белинвестбанк-ZSWU-659,15-03-2015,09:28:36,успешно,да,74.77
физ. лицо,списание средств,3386.41,безналичный,Гродно,Приорбанк-WYMS-950,09-11-2000,07:05:16,успешно,да,310.02
физ. лицо,списание средств,2048.39,наличный,Витебск,Белинвестбанк-CFEG-497,02-03-2010,19:34:00,успешно,да,183.7
физ. лицо,списание средств,2512.84,наличный,Гродно,БелАгропромбанк-BQZH-015,06-05-2009,20:20:03,успешно,да,224.55
юр. лицо,списание средств,2121.01,безналичный,Гомель,Беларусбанк-OUYA-284,24-08-2014,15:14:47,неправильный ввод пин-кода,да,158.6
юр. лицо,списание средств,1447.56,безналичный,Витебск,Приорбанк-RBEW-714,04-12-2001,20:01:40,недостаточно средств,да,32.05
физ. лицо,списание средств,2981.55,безналичный,Гродно,БелАгропромбанк-LPJA-447,23-06-2017,04:39:32,недостаточно средств,да,31.12
физ. лицо,списание средств,1226.25,безналичный,Гродно,БелАгропромбанк-QEHG-127,13-08-2019,18:03:27,успешно,да,82.89
юр. лицо,списание средств,874.33,наличный,Гомель,БелАгропромбанк-MGUT-906,30-10-2024,17:27:07,неправильный ввод пин-кода,да,33.36
физ. лицо,списание средств,225.11,наличный,Минск,Белинвестбанк-XHFT-351,20-08-2014,16:23:10,неправильный ввод пин-кода,да,18.78
